ticker,bucket,subcluster,exchange,notes,adv_usd_60d
JPM,financials,banks,US,,3285358185.309092
BAC,financials,banks,US,,2076702685.0568898
WFC,financials,banks,US,,1342932966.6887665
C,financials,banks,US,,1602638831.7373402
GS,financials,banks,US,,2084272945.9500122
MS,financials,banks,US,,1169899129.9940236
USB,financials,banks,US,,570406287.1762594
PNC,financials,banks,US,,522863348.5525258
TFC,financials,banks,US,,452712489.16856766
SCHW,financials,brokers,US,,1028576437.8375372
V,financials,payments,US,,2496692182.0542397
MA,financials,payments,US,,1910852317.2836304
AXP,financials,payments,US,,1021621664.6207682
PYPL,financials,payments,US,,1036665987.2075272
XOM,energy,integrated,US,,2460211172.369372
CVX,energy,integrated,US,,1750060237.9389699
COP,energy,e&p,US,,795158185.5214437
EOG,energy,e&p,US,,481272507.82454175
OXY,energy,e&p,US,,476001803.18439484
DVN,energy,e&p,US,,379123759.7262637
FANG,energy,e&p,US,,301819312.8851064
APA,energy,e&p,US,,154329691.13593736
SLB,energy,services,US,,825277266.1171213
HAL,energy,services,US,,397223837.8592141
KMI,energy,midstream,US,,387303312.9033502
WMB,energy,midstream,US,,464711280.52094144
AAPL,tech,mega,US,,12921961145.528133
MSFT,tech,mega,US,,14055022070.654602
GOOGL,tech,mega,US,,11698083371.696981
AMZN,tech,mega,US,,10543662662.760088
META,tech,mega,US,,10698094943.75295
NVDA,tech,semis,US,,31464619862.243423
AMD,tech,semis,US,,7816417804.944534
INTC,tech,semis,US,,4613749445.965099
QCOM,tech,semis,US,,1506294387.750346
AVGO,tech,semis,US,,10853451634.624023
TXN,tech,semis,US,,1512010924.5872242
MU,tech,semis,US,,10925521002.157135
ORCL,tech,software,US,,5177283306.226883
CRM,tech,software,US,,2287787480.669937
NOW,tech,software,US,,1970627365.1036835
ADBE,tech,software,US,,1536728446.0976665
FCX,commodities,miners,US,,1061762462.8345045
NEM,commodities,miners,US,,1036475956.8146387
GOLD,commodities,miners,US,,34909214.86808777
RIO,commodities,miners,US,,327208767.72196454
BHP,commodities,miners,US,,251379834.3811798
VALE,commodities,miners,US,,560092302.6135969
NUE,commodities,steel,US,,294172073.5512288
STLD,commodities,steel,US,,237226911.56188965
AA,commodities,aluminum,US,,412960811.6557185
LIN,commodities,chemicals,US,,1230138844.8646038
APD,commodities,chemicals,US,,425235937.82613117
ECL,commodities,chemicals,US,,369123401.3920085
CF,commodities,fertilizers,US,,202838048.99888358
MOS,commodities,fertilizers,US,,182657238.5399882
