a,b,bucket,subcluster,train_nobs,corr,alpha_train,beta_train,r2_train,eg_tstat_train,eg_pval_train,crit_1%,crit_5%,crit_10%
APD,ECL,commodities,chemicals,1528,0.5614399464241505,-1.1779052771015168,1.2502640994194456,0.9427811371230551,-3.0134938599154992,0.10703275795456652,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
APD,LIN,commodities,chemicals,1528,0.6648361089731942,0.5828943468449761,0.8887668995372472,0.9504667553405446,-2.5672708543704497,0.25023265854912297,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
ECL,LIN,commodities,chemicals,1528,0.6177570142581059,1.559177880038723,0.6810576823880886,0.9253832130848056,-2.045903842599202,0.5046492956962979,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
CF,MOS,commodities,fertilizers,1528,0.7111242051625715,1.8300388011176068,0.5273924188240737,0.25168341146742634,-1.0653516715105538,0.8897351794795356,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BHP,RIO,commodities,miners,1528,0.8981047489936397,0.2956958160728768,0.8816420820614608,0.9804748548629441,-3.5737898801325194,0.026391019827345062,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BHP,VALE,commodities,miners,1528,0.7437168526275417,2.009088774311598,0.7007595596525171,0.875847340886996,-2.5121705084389734,0.27372800444292855,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
RIO,VALE,commodities,miners,1528,0.7657381928008746,1.9780115389264208,0.7757759981750811,0.850964012372706,-2.2267751993625207,0.41060211724292445,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BHP,FCX,commodities,miners,1528,0.7068424357945651,1.81320759617883,0.5580188922567724,0.5400414822165647,-1.479414786996299,0.7690006854447032,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
FCX,RIO,commodities,miners,1528,0.700140225809567,-0.3654825900407661,0.8848272009522042,0.5694288306518847,-1.3785574040634485,0.8047686101890481,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
FCX,VALE,commodities,miners,1528,0.6358004698404879,1.291409459095628,0.7378223795338167,0.5598409814286426,-1.2691772685329048,0.8388437495250658,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NUE,STLD,commodities,steel,1528,0.8668485395240576,1.1035994192891239,0.8234240238521111,0.8953419541273094,-2.0402549464245783,0.5075996921608555,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
EOG,FANG,energy,e&p,1528,0.8181679768463508,1.0027337060789627,0.7418212196211995,0.9488656855745501,-4.646450976663952,0.0006965515789008229,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
FANG,OXY,energy,e&p,1528,0.784607659838619,1.9535022443098182,0.6149503319518894,0.7359545052009282,-2.4078189490532096,0.3211607285519812,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
APA,OXY,energy,e&p,1528,0.7889076179538864,0.023147376386673357,0.8770396621444345,0.835591010671313,-2.2945635040736754,0.37626866524814706,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
APA,COP,energy,e&p,1528,0.7537901177139861,1.9574669993559866,0.34012250045762427,0.027314730987111124,-2.1206477598947777,0.4655796616253913,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
DVN,EOG,energy,e&p,1528,0.8272347451888261,-2.7516209045281252,1.3989069117502897,0.8407365082492593,-2.0887576163962254,0.4822450884479484,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
APA,DVN,energy,e&p,1528,0.7961147948321476,0.26294916871846236,0.9841307241307784,0.7297959904821942,-1.9671449488089665,0.545608544848428,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
EOG,OXY,energy,e&p,1528,0.7693946989075211,2.3863363198581253,0.47417112109156584,0.7544792934722713,-1.9477588522936788,0.5556036491229033,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
DVN,FANG,energy,e&p,1528,0.8237118425346897,-1.4721418876931942,1.0671241578268909,0.8435647338428702,-1.9467904207399225,0.5561017424965482,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
APA,EOG,energy,e&p,1528,0.7787093834203128,-2.6299804496638357,1.4216675578124498,0.6542960113633266,-1.7589323692582028,0.6494470827450018,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
COP,DVN,energy,e&p,1528,0.8188127834864228,2.8608965485747877,0.28239005709191756,0.25448869409354624,-1.5715815581453203,0.7327342825399077,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
COP,OXY,energy,e&p,1528,0.7420424107956931,3.1746089781861953,0.14668598229267021,0.0989934174554914,-1.5455290826526458,0.7433229592204716,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
APA,FANG,energy,e&p,1528,0.7747141959891841,-1.2183811527074089,1.0579501873332378,0.6247623409620412,-1.4139749659419232,0.7926828722535216,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
COP,FANG,energy,e&p,1528,0.7824770256519086,1.8967661930841409,0.4320957209274796,0.4413855727750361,-1.2304802206419871,0.8497378363704274,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
COP,EOG,energy,e&p,1528,0.8432588452308417,1.4273281319442008,0.5546165150398112,0.4217329761512647,-1.097787757738158,0.8826766794076735,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
DVN,OXY,energy,e&p,1528,0.7649345160485961,0.5732709069930788,0.6669905223835113,0.6413553550276977,-0.38698716863934857,0.9714711110542473,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
