a,b,bucket,subcluster,train_nobs,alpha_train,beta_train,r2_train,eg_tstat_train,eg_pval_train,crit_1%,crit_5%,crit_10%
APD,ECL,commodities,chemicals,1528,-1.1779052771015168,1.2502640994194456,0.9427811371230551,-3.0134938599154992,0.10703275795456652,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
LIN,APD,commodities,chemicals,1528,-0.3726898931933731,1.069421865098053,0.9504667553405446,-2.4452310775052277,0.30374256283930107,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
LIN,ECL,commodities,chemicals,1528,-1.7409150684627883,1.358744254730405,0.9253832130848056,-1.7129700746429783,0.6709532325081496,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
CF,MOS,commodities,fertilizers,1528,1.8300388011176068,0.5273924188240737,0.25168341146742634,-1.0653516715105538,0.8897351794795356,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
FCX,GOLD,commodities,miners,1528,1.2705785128131297,0.6933444735827854,0.6312115149280414,-4.486270260929066,0.0012898619434457857,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NEM,GOLD,commodities,miners,1528,2.810664021907213,0.3675192480125864,0.42867491482181164,-3.862596273927186,0.011162656160873943,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
RIO,BHP,commodities,miners,1528,-0.26272315378335276,1.1121007887581675,0.9804748548629442,-3.4281637378854803,0.03931724595896786,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NEM,RIO,commodities,miners,1528,1.4441214185593347,0.6164656327007008,0.6680844411180795,-2.5190839056802607,0.2707179352771051,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
BHP,VALE,commodities,miners,1528,2.009088774311598,0.7007595596525171,0.875847340886996,-2.5121705084389734,0.27372800444292855,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NEM,BHP,commodities,miners,1528,1.35434599503344,0.6635732630130693,0.6136765637646261,-2.4426763054887717,0.3049179850647727,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
RIO,VALE,commodities,miners,1528,1.9780115389264208,0.7757759981750811,0.850964012372706,-2.2267751993625207,0.41060211724292445,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
FCX,NEM,commodities,miners,1528,-1.1502520292655007,1.070626412765594,0.47422539983766077,-1.769311200228116,0.6445054011171097,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NEM,VALE,commodities,miners,1528,2.788255894791438,0.40952030264744177,0.41687227153362816,-1.7375072989122322,0.6595506134265431,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
FCX,RIO,commodities,miners,1528,-0.3654825900407661,0.8848272009522042,0.5694288306518847,-1.3785574040634485,0.8047686101890481,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
FCX,VALE,commodities,miners,1528,1.291409459095628,0.7378223795338167,0.5598409814286426,-1.2691772685329048,0.8388437495250658,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
FCX,BHP,commodities,miners,1528,-0.544679999504871,0.9677835100394148,0.5400414822165649,-1.2426000836572069,0.8463900809466445,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GOLD,RIO,commodities,miners,1528,-0.533473188259509,0.7369036975940728,0.300792634171707,-0.9413625454382714,0.9134159583507492,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GOLD,BHP,commodities,miners,1528,-0.5070070256828565,0.7524440924089615,0.24862360649136994,-0.8911396144410795,0.921626385620602,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GOLD,VALE,commodities,miners,1528,1.1434674219899854,0.4508580116066264,0.15920761069414324,-0.7139972397691393,0.9451069401361664,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NUE,STLD,commodities,steel,1528,1.1035994192891239,0.8234240238521111,0.8953419541273094,-2.0402549464245783,0.5075996921608555,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
EOG,FANG,energy,e&p,1528,1.0027337060789627,0.7418212196211995,0.9488656855745501,-4.646450976663952,0.0006965515789008229,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
EOG,DVN,energy,e&p,1528,2.3089507989686395,0.60099532083757,0.8407365082492593,-2.1846334433728636,0.43230130147525203,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
FANG,APA,energy,e&p,1528,2.2933782101436297,0.590540413378888,0.6247623409620411,-2.141705494084199,0.4545962189492717,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
EOG,APA,energy,e&p,1528,2.632689767248381,0.46023137249478285,0.6542960113633265,-2.1166837254408453,0.46764958947586277,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
