ticker,start_date,end_date,n_obs,miss_close,miss_adj,miss_vol,bucket,subcluster,adv_usd_60d
AA,2016-01-04,2026-02-20,2548,0,0,0,commodities,aluminum,412960811.6557185
AAPL,2016-01-04,2026-02-20,2548,0,0,0,tech,mega,12921961145.528133
ADBE,2016-01-04,2026-02-20,2548,0,0,0,tech,software,1536728446.0976665
AMD,2016-01-04,2026-02-20,2548,0,0,0,tech,semis,7816417804.944534
AMZN,2016-01-04,2026-02-20,2548,0,0,0,tech,mega,10543662662.760088
APA,2016-01-04,2026-02-20,2548,0,0,0,energy,e&p,154329691.13593736
APD,2016-01-04,2026-02-20,2548,0,0,0,commodities,chemicals,425235937.82613117
AVGO,2016-01-04,2026-02-20,2548,0,0,0,tech,semis,10853451634.624023
AXP,2016-01-04,2026-02-20,2548,0,0,0,financials,payments,1021621664.6207682
BAC,2016-01-04,2026-02-20,2548,0,0,0,financials,banks,2076702685.0568898
BHP,2016-01-04,2026-02-20,2548,0,0,0,commodities,miners,251379834.3811798
C,2016-01-04,2026-02-20,2548,0,0,0,financials,banks,1602638831.7373402
CF,2016-01-04,2026-02-20,2548,0,0,0,commodities,fertilizers,202838048.99888358
COP,2016-01-04,2026-02-20,2548,0,0,0,energy,e&p,795158185.5214437
CRM,2016-01-04,2026-02-20,2548,0,0,0,tech,software,2287787480.669937
CVX,2016-01-04,2026-02-20,2548,0,0,0,energy,integrated,1750060237.9389699
DVN,2016-01-04,2026-02-20,2548,0,0,0,energy,e&p,379123759.7262637
ECL,2016-01-04,2026-02-20,2548,0,0,0,commodities,chemicals,369123401.3920085
EOG,2016-01-04,2026-02-20,2548,0,0,0,energy,e&p,481272507.82454175
FANG,2016-01-04,2026-02-20,2548,0,0,0,energy,e&p,301819312.8851064
FCX,2016-01-04,2026-02-20,2548,0,0,0,commodities,miners,1061762462.8345045
GOLD,2016-01-04,2026-02-20,2548,0,0,0,commodities,miners,34909214.86808777
GOOGL,2016-01-04,2026-02-20,2548,0,0,0,tech,mega,11698083371.696981
GS,2016-01-04,2026-02-20,2548,0,0,0,financials,banks,2084272945.9500122
HAL,2016-01-04,2026-02-20,2548,0,0,0,energy,services,397223837.8592141
INTC,2016-01-04,2026-02-20,2548,0,0,0,tech,semis,4613749445.965099
JPM,2016-01-04,2026-02-20,2548,0,0,0,financials,banks,3285358185.309092
KMI,2016-01-04,2026-02-20,2548,0,0,0,energy,midstream,387303312.9033502
LIN,2016-01-04,2026-02-20,2548,0,0,0,commodities,chemicals,1230138844.8646038
MA,2016-01-04,2026-02-20,2548,0,0,0,financials,payments,1910852317.2836304
META,2016-01-04,2026-02-20,2548,0,0,0,tech,mega,10698094943.75295
MOS,2016-01-04,2026-02-20,2548,0,0,0,commodities,fertilizers,182657238.5399882
MS,2016-01-04,2026-02-20,2548,0,0,0,financials,banks,1169899129.9940236
MSFT,2016-01-04,2026-02-20,2548,0,0,0,tech,mega,14055022070.654602
MU,2016-01-04,2026-02-20,2548,0,0,0,tech,semis,10925521002.157135
NEM,2016-01-04,2026-02-20,2548,0,0,0,commodities,miners,1036475956.8146387
NOW,2016-01-04,2026-02-20,2548,0,0,0,tech,software,1970627365.1036835
NUE,2016-01-04,2026-02-20,2548,0,0,0,commodities,steel,294172073.5512288
NVDA,2016-01-04,2026-02-20,2548,0,0,0,tech,semis,31464619862.243423
ORCL,2016-01-04,2026-02-20,2548,0,0,0,tech,software,5177283306.226883
OXY,2016-01-04,2026-02-20,2548,0,0,0,energy,e&p,476001803.18439484
PNC,2016-01-04,2026-02-20,2548,0,0,0,financials,banks,522863348.5525258
PYPL,2016-01-04,2026-02-20,2548,0,0,0,financials,payments,1036665987.2075272
QCOM,2016-01-04,2026-02-20,2548,0,0,0,tech,semis,1506294387.750346
RIO,2016-01-04,2026-02-20,2548,0,0,0,commodities,miners,327208767.72196454
SCHW,2016-01-04,2026-02-20,2548,0,0,0,financials,brokers,1028576437.8375372
SLB,2016-01-04,2026-02-20,2548,0,0,0,energy,services,825277266.1171213
STLD,2016-01-04,2026-02-20,2548,0,0,0,commodities,steel,237226911.56188965
TFC,2016-01-04,2026-02-20,2548,0,0,0,financials,banks,452712489.16856766
TXN,2016-01-04,2026-02-20,2548,0,0,0,tech,semis,1512010924.5872242
USB,2016-01-04,2026-02-20,2548,0,0,0,financials,banks,570406287.1762594
V,2016-01-04,2026-02-20,2548,0,0,0,financials,payments,2496692182.0542397
VALE,2016-01-04,2026-02-20,2548,0,0,0,commodities,miners,560092302.6135969
WFC,2016-01-04,2026-02-20,2548,0,0,0,financials,banks,1342932966.6887665
WMB,2016-01-04,2026-02-20,2548,0,0,0,energy,midstream,464711280.52094144
XOM,2016-01-04,2026-02-20,2548,0,0,0,energy,integrated,2460211172.369372
